Unnamed: 0,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description,Year,Cumulative Inflation (to 2023),Gross Adjusted for Inflation (2023)
0,The Shawshank Redemption,1994,142,9.3,82.0,28.34,2777378.0,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",1994,2.0263221935377227,57.42597096485906
1,The Godfather,1972,175,9.2,100.0,134.97,1933588.0,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",1972,7.215052874410238,973.8156864591498
2,The Dark Knight,2008,152,9.0,84.0,534.86,2754087.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",2008,1.4639390101786796,783.0024189841686
3,Schindler's List,1993,195,9.0,95.0,96.9,1397886.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",1993,2.0931908259244674,202.8301910320809
5,The Lord of the Rings: The Return of the King,2003,201,9.0,94.0,377.85,1904166.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,2003,1.6194185573390656,611.8973018905659
6,The Godfather Part II,1974,202,9.0,90.0,57.3,1314609.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",1974,6.761491991612847,387.43349111941615
7,Spider-Man: Across the Spider-Verse,2023,140,8.9,86.0,15.0,198031.0,"Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero.",2023,1.048,15.72
8,Pulp Fiction,1994,154,8.9,95.0,107.93,2131189.0,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",1994,2.0263221935377227,218.70095434852644
9,Inception,2010,148,8.8,74.0,292.58,2444816.0,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.",2010,1.4071046464057069,411.6906774453817
10,Fight Club,1999,139,8.8,67.0,37.03,2212960.0,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,1999,1.7788205080943615,65.86972341473421
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92.0,315.54,1932439.0,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,2001,1.7014000023857985,536.8597567528149
12,Forrest Gump,1994,142,8.8,82.0,330.25,2160038.0,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",1994,2.0263221935377227,669.1929044158329
13,"Il buono, il brutto, il cattivo",1966,161,8.8,90.0,6.1,784276.0,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,1966,9.427499728778848,57.50774834555097
14,The Lord of the Rings: The Two Towers,2002,179,8.8,87.0,342.55,1718332.0,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.",2002,1.6582846027152032,568.0453906600928
17,Oppenheimer,2023,180,8.7,88.0,29.0,266774.0,"The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb.",2023,1.048,30.392000000000003
18,Interstellar,2014,169,8.7,74.0,188.02,1956197.0,"When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans.",2014,1.31798525114934,247.8075869210989
19,GoodFellas,1990,145,8.7,92.0,46.84,1205052.0,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.",1990,2.390850201517441,111.98742343907693
20,One Flew Over the Cuckoo's Nest,1975,133,8.7,84.0,112.0,1037205.0,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.",1975,6.2432982378696655,699.2494026414025
21,The Matrix,1999,136,8.7,73.0,171.48,1976616.0,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.",1999,1.7788205080943615,305.0321407280211
22,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82.0,290.48,1333333.0,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.",1980,4.286470478200566,1245.1339445077003
25,Se7en,1995,127,8.6,65.0,100.13,1718303.0,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.",1995,1.9711305384608198,197.36930081608187
